batch 89read from 881.txt(100000,)TPS: 62500, ETA: 7 seconds
TPS: 4167, ETA: 1 minute, 59 seconds
TPS: 4839, ETA: 1 minute, 43 seconds
TPS: 6289, ETA: 1 minute, 19 seconds
TPS: 6849, ETA: 1 minute, 12 seconds
TPS: 6961, ETA: 1 minute, 11 seconds
TPS: 7099, ETA: 1 minute, 9 seconds
TPS: 7220, ETA: 1 minute, 8 seconds
TPS: 7317, ETA: 1 minute, 7 seconds
TPS: 7386, ETA: 1 minute, 7 seconds
TPS: 7432, ETA: 1 minute, 6 seconds
TPS: 7472, ETA: 1 minute, 6 seconds
TPS: 7514, ETA: 1 minute, 5 seconds
TPS: 7543, ETA: 1 minute, 5 seconds
TPS: 7478, ETA: 1 minute, 5 seconds
TPS: 7590, ETA: 1 minute, 4 seconds
TPS: 7603, ETA: 1 minute, 4 seconds
TPS: 7621, ETA: 1 minute, 4 seconds
TPS: 7631, ETA: 1 minute, 4 seconds
TPS: 7645, ETA: 1 minute, 4 seconds
TPS: 7659, ETA: 1 minute, 3 seconds
TPS: 7666, ETA: 1 minute, 3 seconds
TPS: 7677, ETA: 1 minute, 3 seconds
TPS: 7687, ETA: 1 minute, 3 seconds
TPS: 7692, ETA: 1 minute, 3 seconds
TPS: 7701, ETA: 1 minute, 3 seconds
TPS: 7705, ETA: 1 minute, 3 seconds
TPS: 7709, ETA: 1 minute, 3 seconds
TPS: 7713, ETA: 1 minute, 2 seconds
TPS: 7716, ETA: 1 minute, 2 seconds
TPS: 7719, ETA: 1 minute, 2 seconds
TPS: 7722, ETA: 1 minute, 2 seconds
TPS: 7721, ETA: 1 minute, 2 seconds
TPS: 7720, ETA: 1 minute, 2 seconds
TPS: 7719, ETA: 1 minute, 2 seconds
TPS: 7715, ETA: 1 minute, 2 seconds
TPS: 7712, ETA: 1 minute, 2 seconds
TPS: 7708, ETA: 1 minute, 2 seconds
TPS: 7704, ETA: 1 minute, 2 seconds
TPS: 7698, ETA: 1 minute, 2 seconds
TPS: 7692, ETA: 1 minute, 2 seconds
TPS: 7687, ETA: 1 minute, 2 seconds
TPS: 7679, ETA: 1 minute, 2 seconds
TPS: 7674, ETA: 1 minute, 2 seconds
TPS: 7666, ETA: 1 minute, 2 seconds
TPS: 7651, ETA: 1 minute, 2 seconds
TPS: 7652, ETA: 1 minute, 2 seconds
TPS: 7648, ETA: 1 minute, 2 seconds
TPS: 7642, ETA: 1 minute, 2 seconds
TPS: 7636, ETA: 1 minute, 2 seconds
TPS: 7630, ETA: 1 minute, 2 seconds
TPS: 7625, ETA: 1 minute, 2 seconds
TPS: 7619, ETA: 1 minute, 2 seconds
TPS: 7612, ETA: 1 minute, 2 seconds
TPS: 7605, ETA: 1 minute, 2 seconds
TPS: 7600, ETA: 1 minute, 2 seconds
TPS: 7592, ETA: 1 minute, 2 seconds
TPS: 7586, ETA: 1 minute, 2 seconds
TPS: 7580, ETA: 1 minute, 2 seconds
