batch 73read from 721.txt(100000,)TPS: 62500, ETA: 7 seconds
TPS: 4016, ETA: 2 minutes, 4 seconds
TPS: 4747, ETA: 1 minute, 45 seconds
TPS: 6173, ETA: 1 minute, 20 seconds
TPS: 6720, ETA: 1 minute, 14 seconds
TPS: 6881, ETA: 1 minute, 12 seconds
TPS: 7042, ETA: 1 minute, 10 seconds
TPS: 7156, ETA: 1 minute, 9 seconds
TPS: 7223, ETA: 1 minute, 8 seconds
TPS: 7289, ETA: 1 minute, 7 seconds
TPS: 7343, ETA: 1 minute, 7 seconds
TPS: 7389, ETA: 1 minute, 6 seconds
TPS: 7429, ETA: 1 minute, 6 seconds
TPS: 7455, ETA: 1 minute, 6 seconds
TPS: 7485, ETA: 1 minute, 5 seconds
TPS: 7505, ETA: 1 minute, 5 seconds
TPS: 7529, ETA: 1 minute, 5 seconds
TPS: 7544, ETA: 1 minute, 5 seconds
TPS: 7558, ETA: 1 minute, 4 seconds
TPS: 7570, ETA: 1 minute, 4 seconds
TPS: 7581, ETA: 1 minute, 4 seconds
TPS: 7591, ETA: 1 minute, 4 seconds
TPS: 7596, ETA: 1 minute, 4 seconds
TPS: 7605, ETA: 1 minute, 4 seconds
TPS: 7608, ETA: 1 minute, 4 seconds
TPS: 7607, ETA: 1 minute, 4 seconds
TPS: 7610, ETA: 1 minute, 3 seconds
TPS: 7609, ETA: 1 minute, 3 seconds
TPS: 7604, ETA: 1 minute, 3 seconds
TPS: 7599, ETA: 1 minute, 3 seconds
TPS: 7591, ETA: 1 minute, 3 seconds
TPS: 7583, ETA: 1 minute, 3 seconds
TPS: 7510, ETA: 1 minute, 4 seconds
TPS: 7566, ETA: 1 minute, 3 seconds
TPS: 7556, ETA: 1 minute, 3 seconds
TPS: 7547, ETA: 1 minute, 3 seconds
TPS: 7542, ETA: 1 minute, 3 seconds
TPS: 7534, ETA: 1 minute, 3 seconds
TPS: 7523, ETA: 1 minute, 3 seconds
TPS: 7516, ETA: 1 minute, 3 seconds
TPS: 7506, ETA: 1 minute, 3 seconds
TPS: 7497, ETA: 1 minute, 3 seconds
TPS: 7489, ETA: 1 minute, 3 seconds
TPS: 7480, ETA: 1 minute, 3 seconds
TPS: 7470, ETA: 1 minute, 3 seconds
TPS: 7463, ETA: 1 minute, 3 seconds
TPS: 7453, ETA: 1 minute, 3 seconds
TPS: 7446, ETA: 1 minute, 3 seconds
TPS: 7438, ETA: 1 minute, 3 seconds
TPS: 7429, ETA: 1 minute, 3 seconds
TPS: 7424, ETA: 1 minute, 3 seconds
TPS: 7416, ETA: 1 minute, 3 seconds
TPS: 7408, ETA: 1 minute, 3 seconds
TPS: 7399, ETA: 1 minute, 3 seconds
TPS: 7392, ETA: 1 minute, 3 seconds
TPS: 7386, ETA: 1 minute, 3 seconds
TPS: 7380, ETA: 1 minute, 3 seconds
TPS: 7372, ETA: 1 minute, 3 seconds
TPS: 7366, ETA: 1 minute, 3 seconds
TPS: 7360, ETA: 1 minute, 3 seconds
TPS: 7355, ETA: 1 minute, 3 seconds
TPS: 7349, ETA: 1 minute, 3 seconds
TPS: 7344, ETA: 1 minute, 3 seconds
TPS: 7338, ETA: 1 minute, 3 seconds
TPS: 7333, ETA: 1 minute, 3 seconds
TPS: 7314, ETA: 1 minute, 3 seconds
TPS: 7321, ETA: 1 minute, 3 seconds
TPS: 7313, ETA: 1 minute, 3 seconds
TPS: 7305, ETA: 1 minute, 3 seconds
TPS: 7295, ETA: 1 minute, 3 seconds
TPS: 7285, ETA: 1 minute, 3 seconds
TPS: 7277, ETA: 1 minute, 3 seconds
TPS: 7268, ETA: 1 minute, 3 seconds
TPS: 7259, ETA: 1 minute, 3 seconds
TPS: 7251, ETA: 1 minute, 3 seconds
TPS: 7242, ETA: 1 minute, 3 seconds
TPS: 7235, ETA: 1 minute, 3 seconds
TPS: 7228, ETA: 1 minute, 3 seconds
TPS: 7220, ETA: 1 minute, 3 seconds
TPS: 7212, ETA: 1 minute, 3 seconds
TPS: 7205, ETA: 1 minute, 3 seconds
TPS: 7198, ETA: 1 minute, 3 seconds
TPS: 7191, ETA: 1 minute, 3 seconds
TPS: 7184, ETA: 1 minute, 3 seconds
TPS: 7178, ETA: 1 minute, 3 seconds
TPS: 7171, ETA: 1 minute, 3 seconds
TPS: 7165, ETA: 1 minute, 3 seconds
TPS: 7159, ETA: 1 minute, 3 seconds
TPS: 7152, ETA: 1 minute, 3 seconds
TPS: 7145, ETA: 1 minute, 3 seconds
TPS: 7139, ETA: 1 minute, 3 seconds
TPS: 7133, ETA: 1 minute, 3 seconds
TPS: 7128, ETA: 1 minute, 3 seconds
TPS: 7122, ETA: 1 minute, 3 seconds
TPS: 7117, ETA: 1 minute, 3 seconds
TPS: 7112, ETA: 1 minute, 3 seconds
TPS: 7106, ETA: 1 minute, 3 seconds
TPS: 7101, ETA: 1 minute, 3 seconds
TPS: 7090, ETA: 1 minute, 3 seconds
TPS: 7092, ETA: 1 minute, 3 seconds
TPS: 6048, ETA: 1 minute, 14 seconds
TPS: 6102, ETA: 1 minute, 13 seconds
TPS: 6121, ETA: 1 minute, 13 seconds
TPS: 6126, ETA: 1 minute, 13 seconds
TPS: 6130, ETA: 1 minute, 12 seconds
TPS: 6135, ETA: 1 minute, 12 seconds
TPS: 6139, ETA: 1 minute, 12 seconds
TPS: 6143, ETA: 1 minute, 12 seconds
TPS: 6146, ETA: 1 minute, 12 seconds
TPS: 6150, ETA: 1 minute, 12 seconds
TPS: 6154, ETA: 1 minute, 12 seconds
TPS: 6158, ETA: 1 minute, 12 seconds
TPS: 6162, ETA: 1 minute, 11 seconds
TPS: 6166, ETA: 1 minute, 11 seconds
TPS: 6027, ETA: 1 minute, 13 seconds
TPS: 6075, ETA: 1 minute, 12 seconds
TPS: 6117, ETA: 1 minute, 12 seconds
TPS: 6120, ETA: 1 minute, 12 seconds
TPS: 6124, ETA: 1 minute, 11 seconds
TPS: 6127, ETA: 1 minute, 11 seconds
TPS: 6132, ETA: 1 minute, 11 seconds
TPS: 6135, ETA: 1 minute, 11 seconds
TPS: 6138, ETA: 1 minute, 11 seconds
TPS: 6142, ETA: 1 minute, 11 seconds
TPS: 6146, ETA: 1 minute, 11 seconds
TPS: 6149, ETA: 1 minute, 11 seconds
TPS: 6152, ETA: 1 minute, 10 seconds
TPS: 6156, ETA: 1 minute, 10 seconds
TPS: 6150, ETA: 1 minute, 10 seconds
TPS: 6162, ETA: 1 minute, 10 seconds
TPS: 6165, ETA: 1 minute, 10 seconds
TPS: 6168, ETA: 1 minute, 10 seconds
TPS: 6172, ETA: 1 minute, 10 seconds
TPS: 6175, ETA: 1 minute, 10 seconds
TPS: 6178, ETA: 1 minute, 10 seconds
TPS: 6181, ETA: 1 minute, 9 seconds
TPS: 6185, ETA: 1 minute, 9 seconds
TPS: 6188, ETA: 1 minute, 9 seconds
TPS: 6191, ETA: 1 minute, 9 seconds
TPS: 6194, ETA: 1 minute, 9 seconds
TPS: 6197, ETA: 1 minute, 9 seconds
TPS: 6200, ETA: 1 minute, 9 seconds
TPS: 6203, ETA: 1 minute, 9 seconds
TPS: 6206, ETA: 1 minute, 8 seconds
TPS: 6208, ETA: 1 minute, 8 seconds
TPS: 6211, ETA: 1 minute, 8 seconds
TPS: 6214, ETA: 1 minute, 8 seconds
TPS: 6217, ETA: 1 minute, 8 seconds
TPS: 6219, ETA: 1 minute, 8 seconds
TPS: 6222, ETA: 1 minute, 8 seconds
TPS: 6225, ETA: 1 minute, 8 seconds
