batch 4read from 31.txt(100000,)TPS: 62500, ETA: 7 seconds
TPS: 5102, ETA: 1 minute, 37 seconds
TPS: 5155, ETA: 1 minute, 36 seconds
TPS: 6711, ETA: 1 minute, 14 seconds
TPS: 7911, ETA: 1 minute, 2 seconds
TPS: 7853, ETA: 1 minute, 3 seconds
TPS: 7848, ETA: 1 minute, 3 seconds
TPS: 7874, ETA: 1 minute, 2 seconds
TPS: 7881, ETA: 1 minute, 2 seconds
TPS: 7886, ETA: 1 minute, 2 seconds
TPS: 7891, ETA: 1 minute, 2 seconds
TPS: 7905, ETA: 1 minute, 2 seconds
TPS: 7908, ETA: 1 minute, 2 seconds
TPS: 7910, ETA: 1 minute, 2 seconds
TPS: 7911, ETA: 1 minute, 2 seconds
TPS: 7913, ETA: 1 minute, 2 seconds
TPS: 7907, ETA: 1 minute, 2 seconds
TPS: 7909, ETA: 1 minute, 2 seconds
TPS: 7903, ETA: 1 minute, 2 seconds
TPS: 7893, ETA: 1 minute, 2 seconds
TPS: 7901, ETA: 1 minute, 1 second
TPS: 7897, ETA: 1 minute, 1 second
TPS: 7893, ETA: 1 minute, 1 second
TPS: 7884, ETA: 1 minute, 1 second
TPS: 7881, ETA: 1 minute, 1 second
TPS: 7874, ETA: 1 minute, 1 second
TPS: 7867, ETA: 1 minute, 1 second
TPS: 7861, ETA: 1 minute, 1 second
TPS: 7851, ETA: 1 minute, 1 second
TPS: 7841, ETA: 1 minute, 1 second
TPS: 7832, ETA: 1 minute, 1 second
TPS: 7816, ETA: 1 minute, 1 second
TPS: 7801, ETA: 1 minute, 1 second
TPS: 7787, ETA: 1 minute, 2 seconds
TPS: 7774, ETA: 1 minute, 2 seconds
TPS: 7762, ETA: 1 minute, 2 seconds
TPS: 7747, ETA: 1 minute, 2 seconds
TPS: 7736, ETA: 1 minute, 2 seconds
TPS: 7726, ETA: 1 minute, 2 seconds
TPS: 7713, ETA: 1 minute, 2 seconds
TPS: 7701, ETA: 1 minute, 2 seconds
TPS: 7689, ETA: 1 minute, 2 seconds
TPS: 7676, ETA: 1 minute, 2 seconds
TPS: 7666, ETA: 1 minute, 2 seconds
TPS: 7653, ETA: 1 minute, 2 seconds
TPS: 7641, ETA: 1 minute, 2 seconds
TPS: 7630, ETA: 1 minute, 2 seconds
TPS: 7619, ETA: 1 minute, 2 seconds
TPS: 7609, ETA: 1 minute, 2 seconds
TPS: 7599, ETA: 1 minute, 2 seconds
TPS: 7587, ETA: 1 minute, 2 seconds
TPS: 7578, ETA: 1 minute, 2 seconds
TPS: 7567, ETA: 1 minute, 2 seconds
TPS: 7557, ETA: 1 minute, 2 seconds
TPS: 7549, ETA: 1 minute, 2 seconds
TPS: 7539, ETA: 1 minute, 2 seconds
TPS: 7530, ETA: 1 minute, 2 seconds
TPS: 7521, ETA: 1 minute, 2 seconds
TPS: 7514, ETA: 1 minute, 2 seconds
TPS: 7506, ETA: 1 minute, 2 seconds
TPS: 7498, ETA: 1 minute, 2 seconds
TPS: 7490, ETA: 1 minute, 2 seconds
TPS: 7482, ETA: 1 minute, 2 seconds
TPS: 7475, ETA: 1 minute, 2 seconds
TPS: 7468, ETA: 1 minute, 2 seconds
TPS: 7461, ETA: 1 minute, 2 seconds
TPS: 7456, ETA: 1 minute, 2 seconds
TPS: 7450, ETA: 1 minute, 2 seconds
TPS: 7443, ETA: 1 minute, 2 seconds
TPS: 7437, ETA: 1 minute, 2 seconds
TPS: 7430, ETA: 1 minute, 2 seconds
TPS: 7426, ETA: 1 minute, 2 seconds
TPS: 7420, ETA: 1 minute, 2 seconds
TPS: 7415, ETA: 1 minute, 2 seconds
TPS: 7407, ETA: 1 minute, 2 seconds
TPS: 7400, ETA: 1 minute, 2 seconds
TPS: 7392, ETA: 1 minute, 2 seconds
TPS: 7385, ETA: 1 minute, 2 seconds
TPS: 7378, ETA: 1 minute, 2 seconds
TPS: 7371, ETA: 1 minute, 2 seconds
TPS: 7364, ETA: 1 minute, 2 seconds
TPS: 7357, ETA: 1 minute, 2 seconds
TPS: 7349, ETA: 1 minute, 2 seconds
TPS: 7343, ETA: 1 minute, 2 seconds
TPS: 7336, ETA: 1 minute, 2 seconds
TPS: 7330, ETA: 1 minute, 2 seconds
TPS: 7324, ETA: 1 minute, 2 seconds
TPS: 7317, ETA: 1 minute, 2 seconds
TPS: 7312, ETA: 1 minute, 2 seconds
TPS: 7306, ETA: 1 minute, 2 seconds
TPS: 7300, ETA: 1 minute, 2 seconds
TPS: 7295, ETA: 1 minute, 2 seconds
TPS: 7288, ETA: 1 minute, 2 seconds
TPS: 7283, ETA: 1 minute, 2 seconds
TPS: 7277, ETA: 1 minute, 2 seconds
TPS: 7272, ETA: 1 minute, 2 seconds
TPS: 7266, ETA: 1 minute, 2 seconds
TPS: 7260, ETA: 1 minute, 2 seconds
TPS: 7255, ETA: 1 minute, 2 seconds
TPS: 7248, ETA: 1 minute, 2 seconds
TPS: 6234, ETA: 1 minute, 12 seconds
TPS: 6290, ETA: 1 minute, 11 seconds
TPS: 6308, ETA: 1 minute, 11 seconds
TPS: 6162, ETA: 1 minute, 12 seconds
TPS: 6217, ETA: 1 minute, 11 seconds
TPS: 6268, ETA: 1 minute, 11 seconds
TPS: 6272, ETA: 1 minute, 11 seconds
TPS: 6276, ETA: 1 minute, 11 seconds
TPS: 6280, ETA: 1 minute, 10 seconds
TPS: 6284, ETA: 1 minute, 10 seconds
TPS: 6288, ETA: 1 minute, 10 seconds
TPS: 6291, ETA: 1 minute, 10 seconds
TPS: 6295, ETA: 1 minute, 10 seconds
TPS: 6299, ETA: 1 minute, 10 seconds
TPS: 6302, ETA: 1 minute, 10 seconds
TPS: 6306, ETA: 1 minute, 10 seconds
TPS: 6309, ETA: 1 minute, 9 seconds
TPS: 6314, ETA: 1 minute, 9 seconds
TPS: 6317, ETA: 1 minute, 9 seconds
TPS: 6320, ETA: 1 minute, 9 seconds
TPS: 6324, ETA: 1 minute, 9 seconds
TPS: 6327, ETA: 1 minute, 9 seconds
TPS: 6330, ETA: 1 minute, 9 seconds
TPS: 6334, ETA: 1 minute, 9 seconds
TPS: 6337, ETA: 1 minute, 9 seconds
TPS: 6339, ETA: 1 minute, 8 seconds
TPS: 6342, ETA: 1 minute, 8 seconds
TPS: 6345, ETA: 1 minute, 8 seconds
TPS: 6348, ETA: 1 minute, 8 seconds
TPS: 6351, ETA: 1 minute, 8 seconds
TPS: 6354, ETA: 1 minute, 8 seconds
TPS: 6357, ETA: 1 minute, 8 seconds
TPS: 6359, ETA: 1 minute, 8 seconds
TPS: 6362, ETA: 1 minute, 8 seconds
TPS: 6364, ETA: 1 minute, 7 seconds
TPS: 6367, ETA: 1 minute, 7 seconds
TPS: 6369, ETA: 1 minute, 7 seconds
TPS: 6372, ETA: 1 minute, 7 seconds
TPS: 6374, ETA: 1 minute, 7 seconds
TPS: 6376, ETA: 1 minute, 7 seconds
TPS: 6379, ETA: 1 minute, 7 seconds
TPS: 6381, ETA: 1 minute, 7 seconds
TPS: 6383, ETA: 1 minute, 7 seconds
TPS: 6386, ETA: 1 minute, 7 seconds
TPS: 6388, ETA: 1 minute, 6 seconds
TPS: 6389, ETA: 1 minute, 6 seconds
TPS: 6392, ETA: 1 minute, 6 seconds
TPS: 6394, ETA: 1 minute, 6 seconds
TPS: 6396, ETA: 1 minute, 6 seconds
TPS: 6398, ETA: 1 minute, 6 seconds
TPS: 6400, ETA: 1 minute, 6 seconds
TPS: 6403, ETA: 1 minute, 6 seconds
TPS: 6405, ETA: 1 minute, 6 seconds
TPS: 6407, ETA: 1 minute, 6 seconds
TPS: 6410, ETA: 1 minute, 5 seconds
TPS: 6412, ETA: 1 minute, 5 seconds
TPS: 6414, ETA: 1 minute, 5 seconds
TPS: 6416, ETA: 1 minute, 5 seconds
TPS: 6418, ETA: 1 minute, 5 seconds
TPS: 6420, ETA: 1 minute, 5 seconds
TPS: 6422, ETA: 1 minute, 5 seconds
TPS: 6423, ETA: 1 minute, 5 seconds
TPS: 6425, ETA: 1 minute, 5 seconds
TPS: 6427, ETA: 1 minute, 5 seconds
TPS: 6429, ETA: 1 minute, 4 seconds
TPS: 6431, ETA: 1 minute, 4 seconds
TPS: 6433, ETA: 1 minute, 4 seconds
TPS: 6435, ETA: 1 minute, 4 seconds
TPS: 6437, ETA: 1 minute, 4 seconds
TPS: 6438, ETA: 1 minute, 4 seconds
TPS: 6440, ETA: 1 minute, 4 seconds
TPS: 6442, ETA: 1 minute, 4 seconds
TPS: 6444, ETA: 1 minute, 4 seconds
TPS: 6445, ETA: 1 minute, 4 seconds
TPS: 6447, ETA: 1 minute, 3 seconds
TPS: 6449, ETA: 1 minute, 3 seconds
TPS: 6450, ETA: 1 minute, 3 seconds
TPS: 6452, ETA: 1 minute, 3 seconds
TPS: 6454, ETA: 1 minute, 3 seconds
TPS: 6455, ETA: 1 minute, 3 seconds
TPS: 6456, ETA: 1 minute, 3 seconds
TPS: 6458, ETA: 1 minute, 3 seconds
TPS: 6460, ETA: 1 minute, 3 seconds
TPS: 6461, ETA: 1 minute, 3 seconds
TPS: 6463, ETA: 1 minute, 3 seconds
TPS: 6464, ETA: 1 minute, 2 seconds
TPS: 6466, ETA: 1 minute, 2 seconds
TPS: 6467, ETA: 1 minute, 2 seconds
TPS: 6469, ETA: 1 minute, 2 seconds
TPS: 6470, ETA: 1 minute, 2 seconds
TPS: 6471, ETA: 1 minute, 2 seconds
TPS: 6472, ETA: 1 minute, 2 seconds
TPS: 6473, ETA: 1 minute, 2 seconds
TPS: 6475, ETA: 1 minute, 2 seconds
TPS: 6476, ETA: 1 minute, 2 seconds
TPS: 6478, ETA: 1 minute, 2 seconds
TPS: 6479, ETA: 1 minute, 1 second
TPS: 6480, ETA: 1 minute, 1 second
TPS: 6482, ETA: 1 minute, 1 second
TPS: 6483, ETA: 1 minute, 1 second
TPS: 6411, ETA: 1 minute, 2 seconds
TPS: 6424, ETA: 1 minute, 2 seconds
TPS: 6450, ETA: 1 minute, 1 second
TPS: 6451, ETA: 1 minute, 1 second
TPS: 6453, ETA: 1 minute, 1 second
TPS: 6454, ETA: 1 minute, 1 second
TPS: 6455, ETA: 1 minute, 1 second
TPS: 6457, ETA: 1 minute, 1 second
TPS: 6458, ETA: 1 minute, 1 second
TPS: 6460, ETA: 1 minute, 1 second
TPS: 6461, ETA: 1 minute, 1 second
TPS: 6462, ETA: 1 minute
TPS: 6464, ETA: 1 minute
TPS: 6465, ETA: 1 minute
TPS: 6466, ETA: 1 minute
TPS: 6468, ETA: 1 minute
TPS: 6469, ETA: 1 minute
TPS: 6470, ETA: 1 minute
TPS: 6467, ETA: 1 minute
TPS: 6473, ETA: 1 minute
TPS: 6474, ETA: 1 minute
TPS: 6475, ETA: 1 minute
TPS: 6477, ETA: 59 seconds
TPS: 6478, ETA: 59 seconds
TPS: 6479, ETA: 59 seconds
TPS: 6480, ETA: 59 seconds
TPS: 6481, ETA: 59 seconds
TPS: 6482, ETA: 59 seconds
TPS: 6484, ETA: 59 seconds
TPS: 6484, ETA: 59 seconds
TPS: 6485, ETA: 59 seconds
TPS: 6487, ETA: 59 seconds
TPS: 6488, ETA: 59 seconds
TPS: 6489, ETA: 59 seconds
TPS: 6490, ETA: 58 seconds
TPS: 6486, ETA: 58 seconds
TPS: 6492, ETA: 58 seconds
TPS: 6494, ETA: 58 seconds
TPS: 6495, ETA: 58 seconds
TPS: 6496, ETA: 58 seconds
TPS: 6497, ETA: 58 seconds
TPS: 6498, ETA: 58 seconds
TPS: 6499, ETA: 58 seconds
TPS: 6500, ETA: 58 seconds
TPS: 6501, ETA: 58 seconds
TPS: 6502, ETA: 57 seconds
TPS: 6503, ETA: 57 seconds
TPS: 6504, ETA: 57 seconds
TPS: 6505, ETA: 57 seconds
TPS: 6506, ETA: 57 seconds
TPS: 6507, ETA: 57 seconds
TPS: 6508, ETA: 57 seconds
TPS: 6504, ETA: 57 seconds
TPS: 6510, ETA: 57 seconds
TPS: 6511, ETA: 57 seconds
TPS: 6512, ETA: 57 seconds
TPS: 6513, ETA: 57 seconds
TPS: 6514, ETA: 56 seconds
TPS: 6515, ETA: 56 seconds
TPS: 6516, ETA: 56 seconds
TPS: 6517, ETA: 56 seconds
TPS: 6517, ETA: 56 seconds
TPS: 6518, ETA: 56 seconds
TPS: 6519, ETA: 56 seconds
TPS: 6520, ETA: 56 seconds
TPS: 6521, ETA: 56 seconds
TPS: 6522, ETA: 56 seconds
TPS: 6523, ETA: 56 seconds
TPS: 6523, ETA: 56 seconds
TPS: 6520, ETA: 55 seconds
TPS: 6525, ETA: 55 seconds
TPS: 6525, ETA: 55 seconds
TPS: 6526, ETA: 55 seconds
TPS: 6527, ETA: 55 seconds
TPS: 6527, ETA: 55 seconds
TPS: 6528, ETA: 55 seconds
TPS: 6529, ETA: 55 seconds
TPS: 6530, ETA: 55 seconds
TPS: 6531, ETA: 55 seconds
