read from x2_15.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 4167, ETA: 19 minutes, 59 seconds
TPS: 6048, ETA: 13 minutes, 46 seconds
TPS: 6734, ETA: 12 minutes, 22 seconds
TPS: 6868, ETA: 12 minutes, 7 seconds
TPS: 7042, ETA: 11 minutes, 49 seconds
TPS: 7143, ETA: 11 minutes, 39 seconds
TPS: 7220, ETA: 11 minutes, 31 seconds
TPS: 7282, ETA: 11 minutes, 26 seconds
TPS: 7321, ETA: 11 minutes, 22 seconds
TPS: 7363, ETA: 11 minutes, 18 seconds
TPS: 7398, ETA: 11 minutes, 15 seconds
TPS: 7420, ETA: 11 minutes, 12 seconds
TPS: 7439, ETA: 11 minutes, 11 seconds
TPS: 7463, ETA: 11 minutes, 8 seconds
TPS: 7477, ETA: 11 minutes, 7 seconds
TPS: 7489, ETA: 11 minutes, 6 seconds
TPS: 7494, ETA: 11 minutes, 6 seconds
TPS: 7504, ETA: 11 minutes, 5 seconds
TPS: 7513, ETA: 11 minutes, 4 seconds
TPS: 7516, ETA: 11 minutes, 3 seconds
TPS: 7514, ETA: 11 minutes, 3 seconds
TPS: 7511, ETA: 11 minutes, 4 seconds
TPS: 7505, ETA: 11 minutes, 4 seconds
TPS: 7499, ETA: 11 minutes, 5 seconds
TPS: 7488, ETA: 11 minutes, 5 seconds
TPS: 7479, ETA: 11 minutes, 6 seconds
TPS: 7467, ETA: 11 minutes, 7 seconds
TPS: 7451, ETA: 11 minutes, 9 seconds
TPS: 7440, ETA: 11 minutes, 9 seconds
TPS: 7427, ETA: 11 minutes, 11 seconds
TPS: 7414, ETA: 11 minutes, 12 seconds
TPS: 7402, ETA: 11 minutes, 13 seconds
TPS: 7391, ETA: 11 minutes, 14 seconds
TPS: 7381, ETA: 11 minutes, 15 seconds
TPS: 7368, ETA: 11 minutes, 16 seconds
TPS: 7359, ETA: 11 minutes, 16 seconds
TPS: 7350, ETA: 11 minutes, 17 seconds
TPS: 7342, ETA: 11 minutes, 18 seconds
TPS: 7331, ETA: 11 minutes, 19 seconds
TPS: 7324, ETA: 11 minutes, 19 seconds
TPS: 7315, ETA: 11 minutes, 20 seconds
TPS: 7303, ETA: 11 minutes, 21 seconds
TPS: 7201, ETA: 11 minutes, 31 seconds
TPS: 7274, ETA: 11 minutes, 24 seconds
TPS: 7260, ETA: 11 minutes, 25 seconds
TPS: 7246, ETA: 11 minutes, 26 seconds
TPS: 7229, ETA: 11 minutes, 28 seconds
TPS: 7214, ETA: 11 minutes, 29 seconds
TPS: 7198, ETA: 11 minutes, 31 seconds
TPS: 7183, ETA: 11 minutes, 32 seconds
TPS: 7168, ETA: 11 minutes, 33 seconds
TPS: 7154, ETA: 11 minutes, 35 seconds
TPS: 7141, ETA: 11 minutes, 36 seconds
TPS: 7128, ETA: 11 minutes, 37 seconds
TPS: 7114, ETA: 11 minutes, 38 seconds
TPS: 7102, ETA: 11 minutes, 40 seconds
TPS: 7090, ETA: 11 minutes, 41 seconds
TPS: 7079, ETA: 11 minutes, 42 seconds
TPS: 7069, ETA: 11 minutes, 43 seconds
TPS: 7059, ETA: 11 minutes, 44 seconds
TPS: 7047, ETA: 11 minutes, 45 seconds
TPS: 7038, ETA: 11 minutes, 46 seconds
TPS: 7028, ETA: 11 minutes, 46 seconds
TPS: 7018, ETA: 11 minutes, 47 seconds
TPS: 7009, ETA: 11 minutes, 48 seconds
TPS: 7000, ETA: 11 minutes, 49 seconds
TPS: 6992, ETA: 11 minutes, 50 seconds
TPS: 6984, ETA: 11 minutes, 51 seconds
TPS: 6957, ETA: 11 minutes, 53 seconds
TPS: 6969, ETA: 11 minutes, 52 seconds
TPS: 6962, ETA: 11 minutes, 53 seconds
TPS: 6955, ETA: 11 minutes, 53 seconds
TPS: 6948, ETA: 11 minutes, 54 seconds
TPS: 6942, ETA: 11 minutes, 54 seconds
TPS: 6934, ETA: 11 minutes, 55 seconds
TPS: 6928, ETA: 11 minutes, 56 seconds
TPS: 6922, ETA: 11 minutes, 56 seconds
TPS: 6916, ETA: 11 minutes, 57 seconds
TPS: 6911, ETA: 11 minutes, 57 seconds
TPS: 6905, ETA: 11 minutes, 58 seconds
TPS: 6900, ETA: 11 minutes, 58 seconds
TPS: 6895, ETA: 11 minutes, 59 seconds
TPS: 6890, ETA: 11 minutes, 59 seconds
TPS: 6879, ETA: 12 minutes
TPS: 6881, ETA: 12 minutes
TPS: 6876, ETA: 12 minutes
TPS: 6872, ETA: 12 minutes, 1 second
TPS: 6867, ETA: 12 minutes, 1 second
TPS: 6863, ETA: 12 minutes, 1 second
TPS: 6859, ETA: 12 minutes, 2 seconds
TPS: 6854, ETA: 12 minutes, 2 seconds
TPS: 6850, ETA: 12 minutes, 3 seconds
TPS: 6846, ETA: 12 minutes, 3 seconds
TPS: 6842, ETA: 12 minutes, 3 seconds
TPS: 6840, ETA: 12 minutes, 4 seconds
TPS: 6836, ETA: 12 minutes, 4 seconds
TPS: 6832, ETA: 12 minutes, 4 seconds
TPS: 6829, ETA: 12 minutes, 4 seconds
TPS: 6825, ETA: 12 minutes, 5 seconds
TPS: 5881, ETA: 14 minutes, 1 second
TPS: 5933, ETA: 13 minutes, 54 seconds
TPS: 5952, ETA: 13 minutes, 51 seconds
TPS: 5957, ETA: 13 minutes, 50 seconds
TPS: 5962, ETA: 13 minutes, 49 seconds
TPS: 5966, ETA: 13 minutes, 49 seconds
TPS: 5971, ETA: 13 minutes, 48 seconds
TPS: 5975, ETA: 13 minutes, 47 seconds
TPS: 5980, ETA: 13 minutes, 46 seconds
TPS: 5985, ETA: 13 minutes, 46 seconds
TPS: 5989, ETA: 13 minutes, 45 seconds
TPS: 5993, ETA: 13 minutes, 44 seconds
TPS: 5997, ETA: 13 minutes, 44 seconds
TPS: 5873, ETA: 14 minutes, 1 second
TPS: 5920, ETA: 13 minutes, 54 seconds
TPS: 5966, ETA: 13 minutes, 48 seconds
TPS: 5975, ETA: 13 minutes, 47 seconds
TPS: 5979, ETA: 13 minutes, 46 seconds
TPS: 5983, ETA: 13 minutes, 45 seconds
TPS: 5987, ETA: 13 minutes, 45 seconds
TPS: 5991, ETA: 13 minutes, 44 seconds
TPS: 5995, ETA: 13 minutes, 43 seconds
TPS: 5999, ETA: 13 minutes, 43 seconds
TPS: 6003, ETA: 13 minutes, 42 seconds
TPS: 6007, ETA: 13 minutes, 41 seconds
TPS: 6011, ETA: 13 minutes, 41 seconds
TPS: 6014, ETA: 13 minutes, 40 seconds
TPS: 6018, ETA: 13 minutes, 40 seconds
TPS: 6022, ETA: 13 minutes, 39 seconds
TPS: 6025, ETA: 13 minutes, 39 seconds
TPS: 6029, ETA: 13 minutes, 38 seconds
TPS: 6032, ETA: 13 minutes, 37 seconds
TPS: 6036, ETA: 13 minutes, 37 seconds
TPS: 6039, ETA: 13 minutes, 36 seconds
TPS: 6042, ETA: 13 minutes, 36 seconds
TPS: 6046, ETA: 13 minutes, 35 seconds
TPS: 6050, ETA: 13 minutes, 35 seconds
TPS: 6053, ETA: 13 minutes, 34 seconds
TPS: 6056, ETA: 13 minutes, 34 seconds
TPS: 6059, ETA: 13 minutes, 33 seconds
TPS: 6062, ETA: 13 minutes, 33 seconds
TPS: 6066, ETA: 13 minutes, 32 seconds
TPS: 6069, ETA: 13 minutes, 32 seconds
TPS: 6072, ETA: 13 minutes, 31 seconds
TPS: 6075, ETA: 13 minutes, 31 seconds
TPS: 6078, ETA: 13 minutes, 30 seconds
TPS: 6080, ETA: 13 minutes, 30 seconds
TPS: 6084, ETA: 13 minutes, 29 seconds
TPS: 6086, ETA: 13 minutes, 29 seconds
TPS: 6089, ETA: 13 minutes, 28 seconds
TPS: 6092, ETA: 13 minutes, 28 seconds
TPS: 6095, ETA: 13 minutes, 27 seconds
TPS: 6098, ETA: 13 minutes, 27 seconds
TPS: 6100, ETA: 13 minutes, 26 seconds
TPS: 6103, ETA: 13 minutes, 26 seconds
TPS: 6106, ETA: 13 minutes, 26 seconds
TPS: 6108, ETA: 13 minutes, 25 seconds
TPS: 6111, ETA: 13 minutes, 25 seconds
TPS: 6114, ETA: 13 minutes, 24 seconds
TPS: 6116, ETA: 13 minutes, 24 seconds
TPS: 6118, ETA: 13 minutes, 24 seconds
TPS: 6121, ETA: 13 minutes, 23 seconds
TPS: 6124, ETA: 13 minutes, 23 seconds
TPS: 6126, ETA: 13 minutes, 22 seconds
TPS: 6128, ETA: 13 minutes, 22 seconds
TPS: 6131, ETA: 13 minutes, 22 seconds
TPS: 6133, ETA: 13 minutes, 21 seconds
TPS: 6136, ETA: 13 minutes, 21 seconds
TPS: 6138, ETA: 13 minutes, 20 seconds
TPS: 6140, ETA: 13 minutes, 20 seconds
TPS: 6136, ETA: 13 minutes, 20 seconds
TPS: 6145, ETA: 13 minutes, 19 seconds
TPS: 6147, ETA: 13 minutes, 19 seconds
TPS: 6150, ETA: 13 minutes, 18 seconds
TPS: 6152, ETA: 13 minutes, 18 seconds
TPS: 6154, ETA: 13 minutes, 18 seconds
TPS: 6157, ETA: 13 minutes, 17 seconds
TPS: 6159, ETA: 13 minutes, 17 seconds
TPS: 6161, ETA: 13 minutes, 17 seconds
TPS: 6163, ETA: 13 minutes, 16 seconds
